Strategy,Best Fitness,Mutation Rate,Sigma,Max Generations,Population Size,Offspring Size,Tournament Size
Advanced ES,51.57164701858939,0.1,0.1,50,100,200,3
Advanced EP,51.299815987901695,0.5,0.1,25,100,200,2
Basic ES,51.256790687357295,0.1,0.1,50,100,200,3
(μ + λ) ES,51.25451608211311,0.1,0.1,50,100,200,3
Advanced ES,51.08776042304257,0.1,0.1,50,100,200,3
(μ + λ) ES,50.78147387183361,0.1,0.1,50,100,200,3
(μ + λ) ES,50.730610350644014,0.1,0.1,50,100,200,3
Advanced ES,50.433153556254595,0.1,0.1,50,100,200,3
Basic ES,50.29104653706973,0.1,0.1,50,100,200,3
Advanced ES,50.220696675342516,0.1,0.1,50,100,200,3
Basic EP,50.10530441033618,0.5,0.1,25,100,200,2
Advanced ES,50.01691565543532,0.1,0.1,50,100,200,3
Basic ES,49.824858720040744,0.1,0.1,50,100,200,3
Basic ES,49.58164528347824,0.1,0.1,50,100,200,3
(μ + λ) ES,49.57842041208292,0.1,0.1,50,100,200,3
Basic ES,49.498620320730716,0.1,0.1,50,100,200,3
(μ + λ) ES,48.98331533306232,0.1,0.1,50,100,200,3
Advanced ES,48.85929150190407,0.1,0.1,50,100,200,3
Advanced ES,48.83876960162055,0.1,0.1,50,100,200,3
Basic ES,48.74393663328081,0.1,0.1,50,100,200,3
Advanced ES,48.293814470322125,0.1,0.1,50,100,200,3
Basic ES,47.81081251490333,0.1,0.1,50,100,200,3
(μ + λ) ES,47.75255106667356,0.1,0.1,50,100,200,3
Basic ES,47.630820698935395,0.1,0.1,50,100,200,3
(μ + λ) ES,47.40157230938619,0.1,0.1,50,100,200,3
(μ + λ) ES,47.34582744817739,0.1,0.1,50,100,200,3
Advanced ES,47.265944318272496,0.1,0.1,50,100,200,3
(μ + λ) ES,46.85273446715052,0.1,0.1,50,100,200,3
Basic ES,46.59571456248481,0.1,0.1,50,100,200,3
Basic EP,35.175970071983265,0.5,0.1,25,100,200,2
Basic ES,30.73499477946857,0.5,0.1,25,100,200,2
(μ + λ) ES,29.769672222404132,0.5,0.1,25,100,200,2
(μ + λ) ES,29.097122071184682,0.5,0.1,25,100,200,2
(μ + λ) ES,28.3817049808986,0.5,0.1,25,100,200,2
Basic ES,28.344480583561218,0.5,0.1,25,100,200,2
Basic ES,28.133451923236276,0.5,0.1,25,100,200,2
Advanced ES,28.125981467879967,0.5,0.1,25,100,200,2
Advanced ES,28.071465988846494,0.5,0.1,25,100,200,2
(μ + λ) ES,28.04709571749059,0.5,0.1,25,100,200,2
(μ + λ) ES,27.707168477588773,0.5,0.1,25,100,200,2
Basic ES,27.503503494711534,0.5,0.1,25,100,200,2
Advanced ES,27.489696901040425,0.5,0.1,25,100,200,2
Basic ES,27.462699625636525,0.5,0.1,25,100,200,2
(μ + λ) ES,27.435327854721322,0.5,0.1,25,100,200,2
Basic ES,27.379876503127374,0.5,0.1,25,100,200,2
Advanced ES,27.049869531463433,0.5,0.1,25,100,200,2
(μ + λ) ES,27.03493963491195,0.5,0.1,25,100,200,2
